window,trade_id,symbol,side,entry_time,personality_label,runner_label,moonshot_state,pullback_type,pullback_quality_score,pullback_detected,missed_due_to_waiting,missed_reason,trade_pnl,trade_r_multiple,exit_reason,entry_score,original_entry_price,original_stop,refined_entry_price,refined_stop,target_price_same,original_risk_distance,refined_stop_distance,refined_stop_atr_fraction,refined_stop_cost_multiple,atr_value,recent_candle_noise,local_wick_noise,tick_size_estimate,tiny_stop_flag,unrealistic_stop_flag,noise_stop_flag,cost_dominated_stop_flag,original_gross_r,refined_gross_r,original_net_r_after_fees,refined_net_r_after_fees,original_net_r_after_fees_slippage,refined_net_r_after_fees_slippage,cost_drag_in_r,refined_improves_after_costs,cost_destroys_refined_advantage,minimum_required_move_after_costs,net_reward_to_cost_ratio,expected_cost_r,survives_low_cost,survives_normal_cost,survives_high_cost,survives_stress_cost,cost_aware_pullback_candidate,reason_not_cost_aware,tiny_stop_outlier,improved_r_delta,pullback_depth_atr,pattern,liquidity_event_type,liquidity_event_age_bars,level_distance_atr,htf_aligned,execution_timeframe,macd_confirmation_flag,macd_warning_flag,bb_compression,bb_expansion,bb_warning_flag,micro_pullback_detected,runner_eligible_candidate,add_on_research_candidate,structure_validity_score,archetype,archetype_detected,archetype_score,archetype_grade,entry_candidate_time,entry_candidate_price,stop_price,stop_distance,stop_atr_fraction,stop_cost_multiple,confirmation_delay,pullback_depth,cost_survival_low,cost_survival_normal,cost_survival_high,cost_dominated_flag,missed_winner_risk_flag,reject_reasons,explanation,archetype_pass,soft_evidence_only,scope
diagnostic_fast,BTCUSDT-115,BTCUSDT,long,2026-02-27T19:00:00,CHOPPY_LOW_TRUST,moonshot_candidate,normal,HEALTHY_CONTINUATION_PULLBACK,0.65,False,True,missed_due_to_late_confirmation,87.9042004325264,0.38509749303620133,danger_sniffed,4.58,65314.76,65113.72,65314.76,65228.33,66310.0,201.04000000000087,86.43000000000029,0.15104273939566545,0.5709907599385607,572.2221428571403,544.6816666666673,172.06166666666832,0.01,True,True,True,True,4.950457620374023,11.514983223417733,4.426682212494996,10.29665847506647,4.197530471547922,9.763641397662791,1.7513418257549418,True,False,151.36847400000002,6.574949021419069,1.7513418257549405,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,False,6.56452560304371,0.9835949522157622,sweep_low,sweep_low,1.0,0.3533,False,1h,False,True,False,True,False,False,True,False,0.625,LIQUIDITY_SWEEP_RECLAIM,True,7.85,REJECT,2026-02-27T19:00:00,65314.76,65228.33,86.43000000000029,0.15104273939566545,0.5709907599385607,1.0,0.9835949522157622,True,True,True,True,True,stop_atr_too_small|stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.65; structure=0.62; stop_atr=0.15; stop_cost=0.57; Bollinger context supportive (soft),False,True,development
diagnostic_fast,BTCUSDT-116,BTCUSDT,long,2026-02-27T22:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,STRUCTURE_BREAK_DIP,0.85,False,True,missed_due_to_pullback_too_deep,-192.69819774932398,-1.0,stop_hit,3.8934,65527.59,65113.72,65527.59,65400.0,66310.0,413.86999999999534,127.58999999999651,0.21374902624326186,0.841549258348499,596.9149999999993,479.853333333335,238.41166666666808,0.01,True,True,True,True,1.8904728537946995,6.132220393447958,1.6356342039771212,5.305587647934964,1.5241422946819305,4.943935821773029,1.188284571674929,True,False,151.6132285,5.160565524135669,1.1882845716749286,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,False,4.241747539653258,0.6107223840706315,equal_lows,equal_lows,2.0,0.1819,False,1h,False,True,False,True,False,False,False,False,0.5,STRUCTURE_BREAK_DIP,True,6.4,REJECT,2026-02-27T22:00:00,65527.59,65400.0,127.58999999999651,0.21374902624326186,0.841549258348499,2.0,0.6107223840706315,True,True,True,True,False,stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag|structure_or_context_failed,STRUCTURE_BREAK_DIP via structure_or_context_failed; quality=0.85; structure=0.50; stop_atr=0.21; stop_cost=0.84; Bollinger context supportive (soft),False,True,development
diagnostic_fast,BTCUSDT-117,BTCUSDT,short,2026-03-02T17:00:00,MOMENTUM_BURST,tactical_scalp,normal,STRUCTURE_BREAK_DIP,0.35,False,True,missed_due_to_pullback_too_deep,68.5598670810488,0.34556025053192146,danger_sniffed,3.7881,69428.62,70096.0,69428.62,70096.0,68101.78,667.3800000000047,667.3800000000047,0.7801188799336104,4.2196520535286215,855.485,1312.3700000000015,337.0333333333353,0.01,False,False,False,False,1.9881326980131069,1.9881326980131069,1.8232726182984027,1.8232726182984027,1.7511463334232198,1.7511463334232198,0.2369863645898871,False,False,158.15996,8.389228221858405,0.23698636458988717,False,False,False,False,False,fails_low_cost|fails_normal_cost,False,0.0,1.5056485297003377,sweep_high,sweep_high,0.0,0.6466,False,1h,True,False,False,True,True,False,False,False,0.625,STRUCTURE_BREAK_DIP,True,28.0,REJECT,2026-03-02T17:00:00,69428.62,70096.0,667.3800000000047,0.7801188799336104,4.2196520535286215,0.0,1.5056485297003377,False,False,False,False,True,fails_normal_cost|structure_or_context_failed,STRUCTURE_BREAK_DIP via structure_or_context_failed; quality=0.35; structure=0.62; stop_atr=0.78; stop_cost=4.22; MACD supportive (soft); Bollinger context supportive (soft),False,True,development
diagnostic_fast,BTCUSDT-118,BTCUSDT,short,2026-03-02T22:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,STRUCTURE_BREAK_DIP,0.85,False,True,missed_due_to_pullback_too_deep,-7.784454793210529,-0.03909525345216589,danger_sniffed,3.6618,69413.82,70096.0,69413.82,69539.77,68101.78,682.179999999993,125.94999999999709,0.14658387984660434,0.7964313803701707,859.235,603.6666666666666,276.21333333333314,0.01,True,True,True,True,1.923304699639423,10.417149662564816,1.7620386408279638,9.543688130210686,1.6914847400979507,9.161548709805755,1.2556009527590604,True,False,158.14294,8.296544885279154,1.2556009527590604,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,True,8.493844962925392,0.6127925076468708,sweep_high,sweep_high,5.0,0.6296,False,1h,False,True,False,True,False,False,False,False,0.5,STRUCTURE_BREAK_DIP,True,0.0,REJECT,2026-03-02T22:00:00,69413.82,69539.77,125.94999999999709,0.14658387984660434,0.7964313803701707,5.0,0.6127925076468708,True,True,True,True,False,stop_atr_too_small|stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag|structure_or_context_failed,STRUCTURE_BREAK_DIP via structure_or_context_failed; quality=0.85; structure=0.50; stop_atr=0.15; stop_cost=0.80; Bollinger context supportive (soft),False,True,development
diagnostic_fast,BTCUSDT-119,BTCUSDT,short,2026-03-04T15:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,HEALTHY_CONTINUATION_PULLBACK,0.3,False,True,missed_due_to_late_confirmation,-199.0341286904975,-1.0,stop_hit,3.7208,71621.04,72633.0,71621.04,72633.0,69395.5,1011.9600000000064,1011.9600000000064,1.0495037476350488,6.240156065319075,964.2271428571423,944.7383333333346,384.4350000000001,0.01,False,False,False,False,2.199237123996976,2.199237123996976,2.0877571919838536,2.0877571919838536,2.038984721728112,2.038984721728112,0.16025240226886384,False,False,162.169021,13.723582878384606,0.16025240226886336,False,False,False,False,False,fails_low_cost|fails_normal_cost,False,0.0,1.4647424580208595,sweep_high,sweep_high,0.0,0.3035,False,1h,False,True,False,True,False,False,False,False,0.75,HEALTHY_CONTINUATION_PULLBACK,True,49.7,D,2026-03-04T15:00:00,71621.04,72633.0,1011.9600000000064,1.0495037476350488,6.240156065319075,0.0,1.4647424580208595,False,False,False,False,False,fails_normal_cost,HEALTHY_CONTINUATION_PULLBACK via healthy_continuation_signature; quality=0.30; structure=0.75; stop_atr=1.05; stop_cost=6.24; Bollinger context supportive (soft),False,True,development
diagnostic_fast,BTCUSDT-120,BTCUSDT,short,2026-03-04T17:00:00,MOMENTUM_BURST,normal_swing,normal,HEALTHY_CONTINUATION_PULLBACK,0.45,False,True,missed_due_to_late_confirmation,-206.4336051825066,-1.0,stop_hit,4.0525,73294.84,73500.0,73294.84,73458.0,70588.0,205.1600000000035,163.1600000000035,0.16507140900816897,0.9860679763449781,988.4207142857132,1034.0433333333349,497.3916666666676,0.01,True,True,True,True,13.193799961005803,16.59009561166915,12.63274384870322,15.884614660455632,12.387281799570838,15.575966744299718,1.0141288673694309,True,False,165.46526599999999,16.3589620071683,1.0141288673694315,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,False,3.3962956506633457,0.9166812559086415,sweep_high,sweep_high,0.0,0.2052,False,1h,True,False,False,True,False,False,True,False,0.5,HEALTHY_CONTINUATION_PULLBACK,True,0.0,REJECT,2026-03-04T17:00:00,73294.84,73458.0,163.1600000000035,0.16507140900816897,0.9860679763449781,0.0,0.9166812559086415,True,True,True,True,False,stop_atr_too_small|stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,HEALTHY_CONTINUATION_PULLBACK via healthy_continuation_signature; quality=0.45; structure=0.50; stop_atr=0.17; stop_cost=0.99; MACD supportive (soft); Bollinger context supportive (soft),False,True,development
diagnostic_fast,BTCUSDT-121,BTCUSDT,short,2026-03-04T19:00:00,CHOPPY_LOW_TRUST,moonshot_candidate,normal,HEALTHY_CONTINUATION_PULLBACK,0.65,False,True,missed_due_to_late_confirmation,-204.18347888601727,-1.0,stop_hit,4.0525,73693.5,73759.99,73693.5,73700.0,70588.0,66.49000000000524,6.5,0.0065198903225482914,0.039174626775043776,996.9492857142852,1056.5699999999997,496.07499999999953,0.01,True,True,True,True,46.70627161978877,477.7692307692308,44.97029327718099,460.01150769230765,44.21080275229009,452.24250384615385,25.52672692307692,True,False,165.923725,18.716431299984375,25.52672692307692,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,True,431.062959149442,0.7801724229390833,sweep_high,sweep_high,1.0,0.0658,False,1h,False,True,False,True,False,False,True,False,0.625,EMA_VWAP_RECLAIM_PULLBACK,True,0.85,REJECT,2026-03-04T19:00:00,73693.5,73700.0,6.5,0.0065198903225482914,0.039174626775043776,1.0,0.7801724229390833,True,True,True,True,False,stop_atr_too_small|stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,EMA_VWAP_RECLAIM_PULLBACK via ema_vwap_proxy_reclaim_signature; quality=0.65; structure=0.62; stop_atr=0.01; stop_cost=0.04; Bollinger context supportive (soft),False,True,development
diagnostic_fast,BTCUSDT-122,BTCUSDT,short,2026-03-04T21:00:00,PULLBACK_CONTINUATION,normal_swing,normal,MICRO_PULLBACK_MOMENTUM,0.95,True,False,,-44.85579109758875,-0.281504775215473,danger_sniffed,3.3343,73019.68,74050.0,73019.68,73567.45,70588.0,1030.320000000007,547.7700000000041,0.5823565728293179,3.316826364233712,940.6092857142856,711.2116666666649,354.60666666666657,0.01,False,False,False,False,2.360121127416702,4.439235445533663,2.248615824209932,4.229501170199127,2.1998322540569704,4.137742424740267,0.3014930207933961,True,False,165.148832,14.724173162786844,0.30149302079339646,True,True,True,True,True,,False,2.0791143181169613,0.31259974462526713,sweep_high,sweep_high,1.0,1.0272,False,1h,False,True,False,False,False,True,True,False,0.75,MICRO_PULLBACK_MOMENTUM,True,100.0,A,2026-03-04T21:00:00,73019.68,73567.45,547.7700000000041,0.5823565728293179,3.316826364233712,1.0,0.31259974462526713,True,True,True,False,False,,MICRO_PULLBACK_MOMENTUM via micro_momentum_signature; quality=0.95; structure=0.75; stop_atr=0.58; stop_cost=3.32,True,True,development
diagnostic_fast,BTCUSDT-123,BTCUSDT,short,2026-03-05T01:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,STRUCTURE_BREAK_DIP,0.85,False,True,missed_due_to_pullback_too_deep,27.26669690677808,0.17153488372092934,danger_sniffed,3.079,72760.0,74050.0,72760.0,73000.0,70588.0,1290.0,240.0,0.2926074809979303,1.4558672054992958,820.21142857143,659.4683333333354,266.69333333333634,0.01,True,True,True,True,1.6837209302325582,9.05,1.5948229457364342,8.572173333333334,1.5559300775193798,8.363124166666667,0.6868758333333336,True,False,164.8502,13.175598209768626,0.6868758333333334,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,False,7.366279069767442,0.56010088968642,sweep_high,sweep_high,5.0,1.088,False,1h,False,True,False,False,False,False,False,False,0.375,STRUCTURE_BREAK_DIP,True,10.15,REJECT,2026-03-05T01:00:00,72760.0,73000.0,240.0,0.2926074809979303,1.4558672054992958,5.0,0.56010088968642,True,True,True,True,True,stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag|structure_or_context_failed,STRUCTURE_BREAK_DIP via structure_or_context_failed; quality=0.85; structure=0.38; stop_atr=0.29; stop_cost=1.46,False,True,development
diagnostic_fast,BTCUSDT-124,BTCUSDT,long,2026-03-05T04:00:00,PULLBACK_CONTINUATION,normal_swing,normal,MICRO_PULLBACK_MOMENTUM,0.95,True,False,,266.09068981124057,1.0,stop_hit,5.0464,72497.89,72313.04,72497.89,72344.51,74050.0,184.85000000000582,153.38000000000466,0.20292807947320848,0.9101046288928643,755.8342857142873,588.3766666666706,337.9233333333371,0.01,True,True,True,True,8.396591831214238,10.119376711435347,7.762356981335977,9.355011657321405,7.4848792345142385,9.020601946146554,1.098774765288793,True,False,168.53007350000001,9.20969158658796,1.0987747652887918,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,False,1.7227848802211092,0.5032025996635243,equal_lows,equal_lows,1.0,0.2294,False,1h,False,True,False,False,False,True,True,False,0.625,LIQUIDITY_SWEEP_RECLAIM,True,29.05,REJECT,2026-03-05T04:00:00,72497.89,72344.51,153.38000000000466,0.20292807947320848,0.9101046288928643,1.0,0.5032025996635243,True,True,True,True,False,stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.95; structure=0.62; stop_atr=0.20; stop_cost=0.91,False,True,development
