scope,archetype,candidate_count,pass_count,pass_rate,median_improved_R_delta,trimmed_mean_improved_R_delta,winsorized_mean_improved_R_delta,normal_cost_survival_rate,high_cost_survival_rate,tiny_stop_rate,unrealistic_stop_rate,cost_dominated_rate,missed_winner_risk,average_stop_atr_fraction,median_stop_cost_multiple,recommendation
development,MICRO_PULLBACK_MOMENTUM,27,1,0.037037037037037035,2.0791143181169613,2.0791143181169613,2.0791143181169613,1.0,0.9629629629629629,0.8888888888888888,0.9259259259259259,0.9629629629629629,0.0,0.21074630669878253,0.5521100148264344,continue_refinement
development,BREAKOUT_RETEST_PULLBACK,10,0,0.0,5.129517062067562,5.012522310464541,4.920916160262571,1.0,1.0,0.7,0.7,1.0,0.2,0.25009242514308544,0.6684275081535891,reject_or_redefine
development,EMA_VWAP_RECLAIM_PULLBACK,72,1,0.013888888888888888,0.2196173022600707,0.2196173022600707,0.2196173022600707,0.8055555555555556,0.7916666666666666,0.6388888888888888,0.8472222222222222,0.9861111111111112,0.06944444444444445,0.28964539199860373,0.5200398406746658,continue_refinement
development,HEALTHY_CONTINUATION_PULLBACK,32,3,0.09375,1.082788296948526,1.004647156460141,1.004647156460141,0.90625,0.90625,0.65625,0.71875,0.875,0.25,0.30054186510059316,0.6923011063827924,continue_refinement
development,LIQUIDITY_SWEEP_RECLAIM,101,7,0.06930693069306931,0.6905453318715615,0.4959189808198223,0.4959189808198223,0.7821782178217822,0.7722772277227723,0.5841584158415841,0.7524752475247525,0.8910891089108911,0.1485148514851485,0.351641740696711,0.9285036802478639,continue_refinement
development,INSIDE_BAR_CONTINUATION,17,0,0.0,8.337837762788688,39.957458187974034,64.05460158289581,0.9411764705882353,0.8235294117647058,0.7647058823529411,1.0,1.0,0.0,0.21569433984480849,0.2522919790647237,reject_or_redefine
development,FAILED_BREAKDOWN_REVERSAL,1,0,0.0,30.257743613041733,30.257743613041733,30.257743613041733,1.0,1.0,1.0,1.0,1.0,0.0,0.04434232568356911,0.11599104768128676,insufficient_sample
development,STRUCTURE_BREAK_DIP,99,0,0.0,1.6039960800478097,4.498580731999687,5.992604158420863,0.5757575757575758,0.5454545454545454,0.6868686868686869,0.8282828282828283,0.9292929292929293,0.2828282828282828,0.305883992297023,0.6114370465897337,reject_or_redefine
holdout_recent_preview,MICRO_PULLBACK_MOMENTUM,69,1,0.014492753623188406,2.0791143181169613,2.0791143181169613,2.0791143181169613,0.9710144927536232,0.9565217391304348,0.855072463768116,0.9420289855072463,0.9855072463768116,0.0,0.2028757307783354,0.33656912755551655,continue_refinement
holdout_recent_preview,BREAKOUT_RETEST_PULLBACK,29,0,0.0,7.387194578205561,1421.979742882574,3659.4743124962915,0.9655172413793104,0.9310344827586207,0.7586206896551724,0.8620689655172413,1.0,0.06896551724137931,0.21675172635138593,0.35115073091949434,reject_or_redefine
holdout_recent_preview,EMA_VWAP_RECLAIM_PULLBACK,137,1,0.0072992700729927005,0.2196173022600707,0.2196173022600707,0.2196173022600707,0.8175182481751825,0.781021897810219,0.6277372262773723,0.8978102189781022,0.9927007299270073,0.058394160583941604,0.2844438411026318,0.4593341517105199,continue_refinement
holdout_recent_preview,HEALTHY_CONTINUATION_PULLBACK,54,2,0.037037037037037035,0.9655765862159482,0.9655765862159482,0.9655765862159482,0.8518518518518519,0.8518518518518519,0.6666666666666666,0.7962962962962963,0.9444444444444444,0.2037037037037037,0.3063536265158424,0.6461558790735813,continue_refinement
holdout_recent_preview,LIQUIDITY_SWEEP_RECLAIM,187,6,0.03208556149732621,0.7537138477175399,1.0777414284771256,1.0777414284771256,0.8128342245989305,0.7967914438502673,0.6417112299465241,0.7807486631016043,0.9411764705882353,0.15508021390374332,0.30983784946982557,0.715860148120113,continue_refinement
holdout_recent_preview,INSIDE_BAR_CONTINUATION,23,0,0.0,7.65758752371582,9.186092424396097,11.275626162595705,0.9130434782608695,0.7391304347826086,0.782608695652174,1.0,1.0,0.0,0.1989556306307737,0.1874203032211748,reject_or_redefine
holdout_recent_preview,FAILED_BREAKDOWN_REVERSAL,2,0,0.0,16.136733460011232,16.136733460011232,16.136733460011232,1.0,1.0,1.0,1.0,1.0,0.5,0.180311498378708,0.5215906349237078,insufficient_sample
holdout_recent_preview,STRUCTURE_BREAK_DIP,197,0,0.0,1.2083158636653302,4.972086358939828,7.476877578452349,0.5634517766497462,0.5380710659898477,0.6903553299492385,0.868020304568528,0.9644670050761421,0.350253807106599,0.28934362960483356,0.5259022647358382,reject_or_redefine
