path,size_mb,tracked_by_git,untracked,ignored_by_git,threshold_bucket,recommended_action
data_storage/FTMUSDT/1m/FTMUSDT_1m_2018-01-01_to_2026-05-22.csv,161.054,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SOLUSDT/1m/SOLUSDT_1m_2018-01-01_to_2026-06-13.csv,160.9426,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SOLUSDT/1m/SOLUSDT_1m_2018-01-01_to_2026-06-12.csv,160.8699,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SOLUSDT/1m/SOLUSDT_1m_2018-01-01T00.00.00_to_2026-05-23T00.00.00.csv,159.4141,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SOLUSDT/1m/SOLUSDT_1m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,156.2673,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/BNBUSDT/1m/BNBUSDT_1m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,155.6808,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/MATICUSDT/1m/MATICUSDT_1m_2018-01-01_to_2026-05-22.csv,154.9408,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SOLUSDT/1m/SOLUSDT_1m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,154.5444,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/BNBUSDT/1m/BNBUSDT_1m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,153.7825,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/DOTUSDT/1m/DOTUSDT_1m_2018-01-01_to_2026-05-22.csv,152.3689,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AAVEUSDT/1m/AAVEUSDT_1m_2018-01-01_to_2026-06-13.csv,150.7715,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AAVEUSDT/1m/AAVEUSDT_1m_2018-01-01_to_2026-06-12.csv,150.7011,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AVAXUSDT/1m/AVAXUSDT_1m_2018-01-01_to_2026-06-13.csv,150.2771,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AVAXUSDT/1m/AVAXUSDT_1m_2018-01-01_to_2026-06-12.csv,150.2063,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/LINKUSDT/1m/LINKUSDT_1m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,149.8668,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AAVEUSDT/1m/AAVEUSDT_1m_2018-01-01T00.00.00_to_2026-05-23T00.00.00.csv,149.2822,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AAVEUSDT/1m/AAVEUSDT_1m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,149.2822,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/UNIUSDT/1m/UNIUSDT_1m_2018-01-01_to_2026-05-22.csv,149.2551,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AVAXUSDT/1m/AVAXUSDT_1m_2018-01-01T00.00.00_to_2026-05-23T00.00.00.csv,148.7835,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AVAXUSDT/1m/AVAXUSDT_1m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,148.7835,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/NEARUSDT/1m/NEARUSDT_1m_2018-01-01_to_2026-05-22.csv,147.5924,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/FILUSDT/1m/FILUSDT_1m_2018-01-01_to_2026-05-22.csv,147.5904,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
